Player;Two;Three;Four;Five;Six;Seven;Eight;Nine;Ten;Jack;Queen;King;Ace
21;S;S;S;S;S;S;S;S;S;S;S;S;S
20;S;S;S;S;S;S;S;S;S;S;S;S;S
19;S;S;S;S;S;S;S;S;S;S;S;S;S
18;S;S;S;S;S;S;S;S;S;S;S;S;S
17;S;S;S;S;S;S;S;S;S;S;S;S;SrS
16;S;S;S;S;S;H;H;SrH;SrH;SrH;SrH;SrH;SrH
15;S;S;S;S;S;H;H;H;SrH;SrH;SrH;SrH;SrH
14;S;S;S;S;S;H;H;H;SrH;SrH;SrH;SrH;SrH
13;S;S;S;S;S;H;H;H;H;H;H;H;SrH
12;H;H;S;S;S;H;H;H;H;H;H;H;SrH
11;D;D;D;D;D;D;D;D;H;H;H;H;H
10;D;D;D;D;D;D;D;D;H;H;H;H;H
9;H;D;D;D;D;H;H;H;H;H;H;H;H
8;H;H;H;H;H;H;H;H;H;H;H;H;H
7;H;H;H;H;H;H;H;H;H;H;H;H;SrH
6;H;H;H;H;H;H;H;H;H;H;H;H;SrH
5;H;H;H;H;H;H;H;H;H;H;H;H;SrH
